code,name
CA,經銷商
BA,保經代公司
I0,金融通路
JB,網路
KA,員工自行招攬
KB,承攬業務員
PA,租賃公司
JE,同業分進
JA,日系業務
PE,企業職團
PF,貨運行
PB,車商業務員
PC,車行
PD,壽險業務員
PG,客運公司
PH,計程車行
PJ,代檢場(修理場)
PK,報關行
PM,監理站
PN,代書
PP,營建工程
PR,房屋仲介
PS,公(工)會
PT,旅行社
PU,銀行業務員
JC,公開招標
JD,部門公業務
JF,吉時保
JZ,其他Z代號
